TIARABARREL_MATCHSTICK_B1_UPSTREAM1_E    178.114 1 
TIARABARREL_MATCHSTICK_B1_UPSTREAM2_E    113.962 1 
TIARABARREL_MATCHSTICK_B1_UPSTREAM3_E    158.493 1 
TIARABARREL_MATCHSTICK_B1_UPSTREAM4_E    259.731 1 
TIARABARREL_MATCHSTICK_B1_DOWNSTREAM1_E  99.6626 1 
TIARABARREL_MATCHSTICK_B1_DOWNSTREAM2_E  244.366 1 
TIARABARREL_MATCHSTICK_B1_DOWNSTREAM3_E  139.554 1 
TIARABARREL_MATCHSTICK_B1_DOWNSTREAM4_E  44.8746 1 
TIARABARREL_MATCHSTICK_B2_UPSTREAM1_E    243.675 1 
TIARABARREL_MATCHSTICK_B2_UPSTREAM2_E    235.841 1 
TIARABARREL_MATCHSTICK_B2_UPSTREAM3_E    176.065 1 
TIARABARREL_MATCHSTICK_B2_UPSTREAM4_E    259.959 1 
TIARABARREL_MATCHSTICK_B2_DOWNSTREAM1_E  222.569 1 
TIARABARREL_MATCHSTICK_B2_DOWNSTREAM2_E  79.4242 1 
TIARABARREL_MATCHSTICK_B2_DOWNSTREAM3_E  82.1847 1 
TIARABARREL_MATCHSTICK_B2_DOWNSTREAM4_E  61.185 1 
TIARABARREL_MATCHSTICK_B3_UPSTREAM1_E    568.466 1 
TIARABARREL_MATCHSTICK_B3_UPSTREAM2_E    656.446 1 
TIARABARREL_MATCHSTICK_B3_UPSTREAM3_E    635.948 1 
TIARABARREL_MATCHSTICK_B3_UPSTREAM4_E    526.159 1 
TIARABARREL_MATCHSTICK_B3_DOWNSTREAM1_E  681.639 1 
TIARABARREL_MATCHSTICK_B3_DOWNSTREAM2_E  777.174 1 
TIARABARREL_MATCHSTICK_B3_DOWNSTREAM3_E  640.963 1 
TIARABARREL_MATCHSTICK_B3_DOWNSTREAM4_E  717.497 1 
TIARABARREL_MATCHSTICK_B4_UPSTREAM1_E    623.078 1 
TIARABARREL_MATCHSTICK_B4_UPSTREAM2_E    0 1 
TIARABARREL_MATCHSTICK_B4_UPSTREAM3_E    618.313 1 
TIARABARREL_MATCHSTICK_B4_UPSTREAM4_E    629.866 1 
TIARABARREL_MATCHSTICK_B4_DOWNSTREAM1_E  646.69 1 
TIARABARREL_MATCHSTICK_B4_DOWNSTREAM2_E  694.033 1 
TIARABARREL_MATCHSTICK_B4_DOWNSTREAM3_E  571.211 1 
TIARABARREL_MATCHSTICK_B4_DOWNSTREAM4_E  754.951 1 
TIARABARREL_MATCHSTICK_B5_UPSTREAM1_E    326.301 1 
TIARABARREL_MATCHSTICK_B5_UPSTREAM2_E    232.058 1 
TIARABARREL_MATCHSTICK_B5_UPSTREAM3_E    310.725 1 
TIARABARREL_MATCHSTICK_B5_UPSTREAM4_E    0 1 
TIARABARREL_MATCHSTICK_B5_DOWNSTREAM1_E  313.443 1 
TIARABARREL_MATCHSTICK_B5_DOWNSTREAM2_E  231.319 1 
TIARABARREL_MATCHSTICK_B5_DOWNSTREAM3_E  249.432 1 
TIARABARREL_MATCHSTICK_B5_DOWNSTREAM4_E  251.326 1 
TIARABARREL_MATCHSTICK_B6_UPSTREAM1_E    274.949 1 
TIARABARREL_MATCHSTICK_B6_UPSTREAM2_E    142.166 1 
TIARABARREL_MATCHSTICK_B6_UPSTREAM3_E    90.7097 1 
TIARABARREL_MATCHSTICK_B6_UPSTREAM4_E    136.324 1 
TIARABARREL_MATCHSTICK_B6_DOWNSTREAM1_E  193.447 1 
TIARABARREL_MATCHSTICK_B6_DOWNSTREAM2_E  215.26 1 
TIARABARREL_MATCHSTICK_B6_DOWNSTREAM3_E  175.61 1 
TIARABARREL_MATCHSTICK_B6_DOWNSTREAM4_E  173.937 1 
TIARABARREL_MATCHSTICK_B7_UPSTREAM1_E    260.313 1 
TIARABARREL_MATCHSTICK_B7_UPSTREAM2_E    252.32 1 
TIARABARREL_MATCHSTICK_B7_UPSTREAM3_E    284.791 1 
TIARABARREL_MATCHSTICK_B7_UPSTREAM4_E    164.62 1 
TIARABARREL_MATCHSTICK_B7_DOWNSTREAM1_E  115.493 1 
TIARABARREL_MATCHSTICK_B7_DOWNSTREAM2_E  134.713 1 
TIARABARREL_MATCHSTICK_B7_DOWNSTREAM3_E  267.708 1 
TIARABARREL_MATCHSTICK_B7_DOWNSTREAM4_E  0 1 
TIARABARREL_MATCHSTICK_B8_UPSTREAM1_E    116.2 1 
TIARABARREL_MATCHSTICK_B8_UPSTREAM2_E    0 1 
TIARABARREL_MATCHSTICK_B8_UPSTREAM3_E    308.878 1 
TIARABARREL_MATCHSTICK_B8_UPSTREAM4_E    141.332 1 
TIARABARREL_MATCHSTICK_B8_DOWNSTREAM1_E  55.8622 1 
TIARABARREL_MATCHSTICK_B8_DOWNSTREAM2_E  0 1 
TIARABARREL_MATCHSTICK_B8_DOWNSTREAM3_E  0 1 
TIARABARREL_MATCHSTICK_B8_DOWNSTREAM4_E  308.481 1 
